ID,NPC 이름,상황,음성 매개체,텍스트
DIG_001,User_smith,영업 시작,Player,오늘도 시작해 볼까!
DIG_002,User_smith,영업 시작,Player,뭔가 잘될 것 같은 날이군!
DIG_003,User_smith,영업 종료,Player,오늘은 이쯤 할까..
DIG_004,User_smith,영업 종료,Player,슬슬 마무리 해야겠군..
DIG_005,NPC_adventurer_01,대장간 방문,NPC,안녕하세요! 제 무기좀 강화해주세요!
DIG_006,NPC_adventurer_01,대장간 방문,NPC,여기가 대장간 맞나요? 무기좀 강화하려구요!
DIG_007,User_smith,대장간 방문,Player,어서 오시게. 나한테 맡기면 된다네.
DIG_008,NPC_adventurer_01,강화 하기 전,NPC,제가 처음 산 무기에요! 멋지게 부탁드려요!
DIG_009,NPC_adventurer_01,강화 하기 전,NPC,이건 실패할 수가 없지.
DIG_010,NPC_adventurer_01,강화 성공 후,NPC,이건 해줘야지~!
DIG_011,NPC_adventurer_01,강화 성공 후,NPC,역시. 붙을 줄 알았다구.
DIG_012,User_smith,강화 성공 후,Player,으하하! 이 정도는 쉽지.
DIG_013,NPC_adventurer_01,마무리,NPC,감사합니다! 또 올게요~
DIG_014,NPC_adventurer_01,마무리,NPC,안녕히 계세요.
DIG_015,NPC_adventurer_01,강화 실패 후,NPC,아.. 실패해 버렸잖아? 아쉬워라..
DIG_016,NPC_adventurer_01,강화 실패 후,NPC,이게 안되다니.. 오늘은 날이 아닌가..?
DIG_017,User_smith,강화 실패 후,Player,… 나도 이럴줄은 몰랐네..
DIG_018,NPC_adventurer_01,마무리,NPC,안녕히 계세요...
DIG_019,NPC_adventurer_01,마무리,NPC,다시는 여기 오면 안되겠다.
DIG_020,NPC_adventurer_02,대장간 방문,NPC,강화 때문에 잠이 안와서 들렀어요
DIG_021,NPC_adventurer_02,대장간 방문,NPC,계십니까? 장비 강화좀 맡기려고 하는데요
DIG_022,User_smith,대장간 방문,Player,어서 오시오. 어떤 것을 도와드릴까?
DIG_023,NPC_adventurer_02,강화 하기 전,NPC,긴장 되네. 잘 부탁해요.
DIG_024,NPC_adventurer_02,강화 하기 전,NPC,이 장비를 부탁드립니다.
DIG_025,NPC_adventurer_02,강화 성공 후,NPC,이제 한동안은 걱정 없겠다..
DIG_026,NPC_adventurer_02,강화 성공 후,NPC,오늘 강화 운이 좋은걸?
DIG_027,User_smith,강화 성공 후,Player,내 망치가 큰일을 해냈군!
DIG_028,NPC_adventurer_02,마무리,NPC,안녕히 계세요.(다음에 또 와야겠다.)
DIG_029,NPC_adventurer_02,마무리,NPC,감사합니다. 다음에 또 올게요
DIG_030,NPC_adventurer_02,강화 실패 후,NPC,하.. 설마 했는데 진짜네.
DIG_031,NPC_adventurer_02,강화 실패 후,NPC,"?? 아니, 이걸 실패한다고? 여기 완전 똥손이잖아"
DIG_032,User_smith,강화 실패 후,Player,최선을 다했지만.. 미안하오..
DIG_033,NPC_adventurer_02,마무리,NPC,(고개만 숙여 인사 후 떠난다.)
DIG_034,NPC_adventurer_02,마무리,NPC,쯧.. 내 돈만 날렸네
DIG_035,NPC_adventurer_03,대장간 방문,NPC,주인장 계신가!
DIG_036,NPC_adventurer_03,대장간 방문,NPC,(여기가 그렇게 강화가 잘 된다던데..)
DIG_037,User_smith,대장간 방문,Player,어서오십시오. 이쪽으로 오시지요.
DIG_038,NPC_adventurer_03,강화 하기 전,NPC,처음 보는 대장장이군. 이 놈일세
DIG_039,NPC_adventurer_03,강화 하기 전,NPC,이번 무기는 꼭 성공했으면 좋겠네..
DIG_040,NPC_adventurer_03,강화 성공 후,NPC,오! 대단하군! 역시 믿고 맡기길 잘했어.
DIG_041,NPC_adventurer_03,강화 성공 후,NPC,이 확률을 뚫다니..! 오늘은 되는 날이시군요.
DIG_042,User_smith,강화 성공 후,Player,운이 좋았던 것 뿐입니다.
DIG_043,NPC_adventurer_03,마무리,NPC,여기는 내가 잘 이용하도록 하지! 다음에 또 봅세!
DIG_044,NPC_adventurer_03,마무리,NPC,종종 들르겠습니다. 안녕히 계세요
DIG_045,NPC_adventurer_03,강화 실패 후,NPC,"마음의 준비는 했지만, 그래도 뼈 아프네"
DIG_046,NPC_adventurer_03,강화 실패 후,NPC,아.. 실망이네.. 여기는 다를 줄 알았는데..
DIG_047,User_smith,강화 실패 후,Player,… 확률은 이미 설명을 드렸습니다
DIG_048,NPC_adventurer_03,마무리,NPC,별 볼일 없는 곳이구만!
DIG_049,NPC_adventurer_03,마무리,NPC,짜증나네. 이게 얼마짜린데.
